,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800
0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0
1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0
1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0
1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493
1400,0.0,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192
1450,0.0,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019
1500,0.0,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473
1550,0.0,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032
1600,0.0,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798
1650,0.0,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
1700,0.0,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
1750,0.0,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
1800,0.0,0.08120116994196762,0.159695634219203,0.14406501999966997,0.1437967934103798,0.14434139317957032,0.10944051572309473,0.06013818658995019,0.019399415029016192,0.002586588670535493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127
